Temp,Humd,Label
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.5,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.8,38,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.6,54,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
25.8,67,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26,79,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,8326.2,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
26.2,83,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.3,75,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.1,68,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
27.7,66,1
